Name,URL,avatar,feed,category
"affecognitive ~ religion, film, affect, academia",https://affecognitive.wordpress.com/,/images/sites/affecognitive.jpg,https://affecognitive.wordpress.com/feed,blog
American Indian Law Alliance,https://aila.ngo/,/images/sites/aila.png,https://aila.ngo/feed/,blog
An und für sich,https://itself.blog/,/images/sites/itself.jpg,https://itself.blog/feed/,blog
Andrew Whitehead,https://andrewwhitehead.substack.com/,/images/sites/andrewwhitehead.jpg,https://andrewwhitehead.substack.com/feed/,blog
"Bartholomew's Notes: On Religion, Media, Culture, And Conspiracy Theories",https://barthsnotes.com/,/images/sites/barthsnotes.jpg,https://barthsnotes.com/feed/,blog
Bible For Normal People Blog,https://thebiblefornormalpeople.com/blog/,/images/sites/thebiblefornormalpeople.png,https://thebiblefornormalpeople.com/feed/,blog
Canopy Forum,https://canopyforum.org/,/images/sites/canopyforum.jpg,https://canopyforum.org/feed/,blog
"Craig Martin, Religion Professor",https://craigmartinreligion.wordpress.com,/images/sites/craigmartinreligion.jpg,https://craigmartinreligion.wordpress.com/feed/,blog
Culture on Edge,https://edge.ua.edu/identity/,/images/sites/edge.jpg,https://edge.ua.edu/feed/,blog
Doctrine of Discovery,https://doctrineofdiscovery.org/,/images/sites/doctrineofdiscovery.png,https://doctrineofdiscovery.org/feed.xml,blog
Du Mez CONNECTIONS,https://kristindumez.substack.com/,/images/sites/affecognitive.jpg,https://kristindumez.substack.com/feed,blog
Feminism and Religion,https://feminismandreligion.com/,/images/sites/feminismandreligion.png,https://feminismandreligion.com/feed/,blog
Feminists Studies in Religion,https://www.fsrinc.org/blog/,/images/sites/fsrinc.png,https://www.fsrinc.org/blog/feed/,blog
Image Journal,https://imagejournal.org/,/images/sites/image.png,https://imagejournal.org/feed/,blog
Indigenous Values Initiative,https://indigenousvalues.org/,/images/sites/indigenousvalues.png,https://indigenousvalues.org/feed/,blog
Jewish Philosophy Place,https://jewishphilosophyplace.com/,/images/sites/jewishphilosophyplace.png,https://jewishphilosophyplace.com/,blog
Ken Chitwood,https://www.kenchitwood.com/,/images/sites/kenchitwood.jpg,https://www.kenchitwood.com/blog?format=rss,blog
Killing the Buddha,https://killingthebuddha.com/,/images/sites/killingthebuddha.svg,https://killingthebuddha.com/feed/,blog
NSRN,https://thensrn.org/,/images/sites/thensrn.png,https://thensrn.org/category/nsrn-blog/feed/,blog
Original Free Nations,https://originalfreenations.com/,/images/sites/originalfreenations.png,https://originalfreenations.com/feed/,blog
Political Theology,https://politicaltheology.com/,/images/sites/politicaltheology.png,https://politicaltheology.com/feed/,blog
Religion and Politics,https://religionandpolitics.org/,/images/sites/religionandpolitics.jpg,https://religionandpolitics.org/feed/,blog
Religion Dispatches,https://religiondispatches.org/,/images/sites/religiondispatches.jpg,https://religiondispatches.org/feed/,blog
Religion in American History,https://usreligion.blogspot.com/,/images/sites/usreligion.jpg,https://usreligion.blogspot.com/feeds/posts/default,blog
Religion in United States History,https://usreligion.substack.com/,/images/sites/religioninunitedstateshistory.jpg,https://usreligion.substack.com/feed/,blog
Religion Matters,https://religionmatters.org/blog-2/,/images/sites/religionmatters.png,https://religionmatters.org/blog-2/feed/,blog
"Religion Race and Democracy Lab, UVA",https://religionlab.virginia.edu/,/images/sites/religionlab.png,https://religionlab.virginia.edu/feed/,blog
ReligionProf: The Blog of James F. McGrath,https://www.patheos.com/blogs/religionprof/,/images/sites/patheos.png,https://www.patheos.com/blogs/religionprof/feed,blog
Religious Studies News,https://rsn.aarweb.org/,/images/sites/rsn.png,https://rsn.aarweb.org/rss.xml,blog
Religious Studies Project,https://www.religiousstudiesproject.com/,/images/sites/religiousstudiesproject.png,https://www.religiousstudiesproject.com/feed/,blog
Studying Religion in Culture - UA,https://religion.ua.edu/blog/,/images/sites/religion-ua.png,https://religion.ua.edu/blog/feed/,blog
Syndicate Network,https://syndicate.network/,/images/sites/Syndicatenetwork.svg,https://syndicate.network/feed/,blog
Te Ture Tāhae Whenua - The Doctrine of Discovery in Aotearoa,https://tinangata.substack.com/,/images/sites/tinangata.jpg,https://tinangata.substack.com/feed,blog
The Commons by APRIL Online,https://www.aprilonline.org/the-commons/,/images/sites/aprilonline.png,https://www.aprilonline.org/feed/,blog
The Domination Chronicles,https://stevennewcomb.substack.com/,/images/sites/stevennewcomb.jpg,https://stevennewcomb.substack.com/feed/,blog
The Immanent Frame,https://tif.ssrc.org/,/images/sites/the-immanent-frame.png,https://tif.ssrc.org/feed/,blog
The Revealer,https://therevealer.org/,/images/sites/the-revealer.png,https://therevealer.org/feed/,blog
Wabash Center Blog,https://www.wabashcenter.wabash.edu/resources/blog/,/images/sites/wabash.png,https://www.wabashcenter.wabash.edu/feed/,blog
White Too Long,https://www.whitetoolong.net/,/images/sites/whitetoolong.jpg,https://www.whitetoolong.net/feed,blog
